id,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,OVD_t1,OVD_t2,OVD_t3,OVD_sum,pay_normal,prod_code,prod_limit,new_balance,highest_balance
58982978,5,1322.0,3,30000.0,2,15,5,91,5,60047,164.3167673,0,0,0,0,6,10,85789.7012195122,0.0,219202.72592781534
58989746,7,1334.0,3,86000.0,2,11,5,113,5,510065,168.5140944,0,0,12,1800,23,10,85789.7012195122,0.0,7125.0
58994856,7,1216.0,3,60000.0,2,11,-1,112,4,450081,158.11388300000002,0,0,0,0,3,10,58300.0,13995.6,53414.0
58997951,4,1230.0,3,125000.0,2,8,9,109,5,71002,316.22776600000003,0,0,0,0,1,10,26400.0,0.0,78724.0
58996391,7,1386.0,1,165000.0,2,11,-1,100,3,350098,173.20508080000002,0,0,0,0,30,2,85789.7012195122,0.0,975589.0
54986075,7,1246.0,3,81000.0,2,11,5,103,5,60014,1.0,2,0,0,18,11,10,70400.0,41290.8,51621.0
58988200,5,1308.0,3,39000.0,2,15,5,82,3,450018,159.9843742,1,0,0,10,13,6,85789.7012195122,0.0,9700.0
54987489,7,1307.0,1,182000.0,2,11,-1,101,5,350052,200.0,0,0,0,0,14,5,85789.7012195122,0.0,170500.0
54985358,7,1286.1657435613404,2,97000.0,2,11,5,76,5,72000,179.0809873,0,0,0,0,12,5,85789.7012195122,408103.2,400500.0
58990519,7,1256.0,1,102000.0,2,11,-1,110,4,450080,178.8854382,0,0,0,0,25,10,119900.0,109411.2,108472.0
54982721,5,1286.1657435613404,2,90000.0,2,15,5,92,5,72014,1.0,2,1,9,2897,9,5,85789.7012195122,0.0,48500.0
58987715,5,1289.0,1,35000.0,2,15,5,76,5,60063,1.0,1,6,0,480,29,10,22000.0,-99.6,27446.0
58984726,5,1348.0,3,150000.0,2,15,5,110,5,72000,538.5387637,0,0,0,0,0,2,85789.7012195122,135145.2,129500.0
58985495,5,1314.0,3,177000.0,2,15,5,105,5,60059,1.0,0,0,0,0,25,10,165000.0,1843.2,80585.0
59003131,4,1322.0,3,35000.0,2,8,5,95,3,151300,173.20508080000002,0,0,0,0,7,10,85789.7012195122,1688.4,27840.0
59002226,4,1286.1657435613404,2,48000.0,1,8,5,101,5,72000,165.37533069999998,0,0,0,0,1,13,85789.7012195122,57916.8,38500.0
54988117,7,1346.0,1,148000.0,2,11,5,105,3,350000,244.94897430000003,0,0,0,0,5,6,85789.7012195122,6000.0,15500.0
59001676,4,1288.0,3,120000.0,2,8,9,114,5,60059,1.0,0,0,0,0,36,1,85789.7012195122,0.0,200500.0
58995151,7,1286.1657435613404,2,126000.0,2,11,9,115,4,450028,224.2676972,0,0,0,0,1,5,85789.7012195122,588720.0,491100.0
58992419,7,1382.0,3,115000.0,2,11,5,100,5,60058,1.0,0,0,0,0,15,13,85789.7012195122,0.0,45500.0
58982754,5,1322.0,3,195000.0,2,15,5,90,3,60033,240.8318916,1,0,0,25,35,5,85789.7012195122,0.0,50500.0
59000077,4,1306.0,3,128000.0,2,8,5,114,4,72000,291.1889421,0,0,0,0,2,10,105600.0,4492.8,4243.0
54988224,7,1235.0,3,101000.0,2,11,5,112,3,60013,1.0,1,0,0,1,35,10,73700.0,69811.2,66297.0
